PLTR
PYPL
SPX
TSLA
SOFI
NVDA
AMD
GOOGL
SPY
SOUN
META
RGTI
GOOG
MSFT
QQQ
AMZN
OSS
MSTR
KC
SPOT
TEM
KRMD
HIMS
GRAB
TGI
OKLO
EL
AVGO
QBTS
ACHL
TPX
AAPL
VIAV
SHOP
HOOD
BBAI
CRWD
ELF
UBER
BKSY
FUBO
CRM
VST
RCAT
VIX
IONQ
TSM
ATGE
